VIF
"x"
"per_capita_crime_rate",1.7922
"zoned_over_25k_sq_ft",2.2988
"business_acres",3.9916
"bounded_by_charles_river",1.074
"nox_ppm",4.3937
"rooms_per_dwelling",1.9337
"units_built_before_1940",3.1008
"distance_to_employment_centers",3.9559
"highway_accessibility",7.4845
"property_tax_rate_per_10k",9.0086
"student_teacher_ratio",1.7991
"african_american_proportion",1.3485
"percent_lower_status",2.9415


sqrt(VIF)
"x"
"per_capita_crime_rate",1.33873074215841
"zoned_over_25k_sq_ft",1.51617940890912
"business_acres",1.99789889634085
"bounded_by_charles_river",1.03633971264253
"nox_ppm",2.09611545483544
"rooms_per_dwelling",1.39057542046449
"units_built_before_1940",1.76090885624441
"distance_to_employment_centers",1.98894444366855
"highway_accessibility",2.73578142401764
"property_tax_rate_per_10k",3.00143299108942
"student_teacher_ratio",1.34130533436649
"african_american_proportion",1.16124932723339
"percent_lower_status",1.71508017305314
